idx,story,korean
0,"The crowd is cheering at a baseball game. The batter and pitcher enter the field. The batter takes a stance, waiting for the pitcher to throw the ball. The pitcher changes his stance and throws the ball. The batter sees the pitcher's ball and swings the bat. The bat hits the ball. The ball travels far and the batter hits a home run. The scoreboard shows the score going up.",야구장에 관중이 환호하고 있다. 타자와 투수가 입장한다. 타자는 투수가 공을 던지는 것을 기다리며 자세를 잡는다. 투수가 자세를 바꾸고 공을 던진다. 타자는 투수가 던진 공을 보고 배트를 휘두른다. 배트가 공을 맞춘다. 타자가 맞춘 공은 멀리 뻗어가고 홈런을 친다. 전광판에 점수가 오르는 모습이 보인다.
1,"A girl is sitting at a desk. On the desk is a sandwich on a plate, and next to it is a cell phone. The girl is eating the sandwich. As she takes a bite of the sandwich, she receives a notification on her phone. She puts the sandwich back on the plate and picks up her phone to see what the notification says. While holding her phone, the girl looks happy, as if something good has happened.","한 소녀가 책상 앞에 앉아 있습니다. 책상 위에는 접시 위에 샌드위치가 있고, 그 옆에는 휴대폰이 있습니다. 소녀가 샌드위치을 먹고 있습니다. 샌드위치를 한입 베어 물었을 때, 그녀의 휴대폰에 알림이 옵니다. 먹던 샌드위치를 접시 위에 올려두고 휴대폰을 들고 알림 내용을 확인합니다. 휴대폰을 든 채로 소녀는 좋은 일이 있는 듯 행복한 표정을 합니다."
2,"A person is hospitalized in a hospital. Outside the window, a tree is reflected. The tree has many green leaves. Time passes and the leaves fall off the tree, along with the dark background, and the tree has lost most of its leaves. The patient has a sad look on his face. Another time passes and new leaves sprout on the tree, the patient and the doctor talk, and the patient's expression brightens. When the tree is full of leaves and green again, the hospital room is empty and bright sunlight shines through the window.","병원에 한 사람이 입원해 있습니다. 창 밖에는 나무 한그루가 비추어 보입니다. 나무에는 푸른 잎이 많이 보입니다. 시간이 흐르고 어두운 배경과 함께 나무에 잎이 떨어지고 낙엽이 떨어져 나무엔 대부분의 잎이 사라졌습니다. 환자는 슬픈 표정을 보입니다. 시간이 또 흐르고 나무에 새순이 돋아날 때 쯤, 환자와 의사가 이야기를 나누고, 환자의 표정이 밝게 변합니다. 나무의 잎이 가득해지고 푸른 모습을 다시 보일 때, 병실은 비어있고, 창문을 통해 밝은 햇살이 비춥니다."
3,"A dog and its owner go for a walk. In the park, the dog and its owner look happy. At this point, a new dog and another person appear from the opposite direction. They greet each other happily and talk to each other. As they walk together, the background changes. They come to a crossroads and part ways. The owner and puppy return home.",개 한마리와 주인이 산책을 나갑니다. 공원에서 강아지와 주인은 행복한 표정을 합니다. 이때 맞은 편에서 새로운 강아지와 다른 사람이 함께 등장합니다. 이들은 반가운 듯 서로 인사하고 이야기를 합니다. 함께 걸어가며 배경이 변화합니다. 갈림길을 마주하고 헤어집니다. 주인과 강아지는 집으로 돌아옵니다.
4,"There are four people in a band, each playing piano, guitar, drums, and vocals. The band plays on a stage, which is set up with microphones and instruments. The drummer starts playing first. Everyone nods in unison, and then the guitar player joins in. Then the piano player joins in, and the vocalist starts singing. When they're done, they all look satisfied and high-five each other.","밴드에 4명의 사람이 있습니다. 각각 피아노와 기타, 드럼 그리고 보컬을 담당합니다. 밴드는 무대에서 연주하며, 무대에는 마이크와 악기가 셋팅 되어있습니다. 드럼 연주자가 먼저 연주를 시작합니다. 모두 함께 고개를 끄덕이며 뒤이어 기타 연주자도 연주에 참여합니다. 이어서 피아노 연주자도 연주에 참여하고, 보컬도 노래를 시작합니다. 연주를 마치고 모두 만족스러운 표정을 보이며 하이파이브를 합니다."
5,"A man is in a room working on a computer. The computer is on the desk, and the man has a troubled look on his face, as if things aren't going well. Suddenly, the man looks bright as if he's figured something out, and a light bulb appears above the man's head and lights up brightly. The man looks enthusiastic and types something into the computer. The computer works and the man looks happy, but then he finds a new problem and looks troubled again.","한 남자가 방에서 컴퓨터로 작업을 하고 있습니다. 책상 위에 컴퓨터가 있으며, 남자는 일이 잘 되지 않는 듯 고민스러운 표정을 하고 있습니다. 갑자기 남자가 뭔가 알아낸 듯 밝은 표정을 보이며, 남자 머리 위에 전구가 나타나 밝게 켜집니다. 남자는 열중하는 표정을 보이며 컴퓨터에 뭔가 입력합니다. 컴퓨터가 잘 동작하고 남자는 행복한 표정을 합니다. 하지만 다시 새로운 문제를 발견하고 다시 고민스러운 표정을 합니다."
6,"A puppy wanders down the street. The background changes and a trash can is visible. The puppy looks at the trash can with a bright expression. The puppy is rummaging through the trash. At this point, another cat appears. Together, they rummage through the trash, and the puppy finds a large bone, which he puts in his mouth with a happy expression on his face. The cat also returns with a fish in his mouth.","길에 강아지 한마리가 돌아다닙니다. 배경이 변하고 쓰레기통이 보입니다. 강아지는 밝은 표정으로 쓰레기통을 바라봅니다. 강아지는 쓰레기통을 뒤지고 있습니다. 이때 고양이 한마리가 또 등장합니다. 함께 쓰레기통을 뒤지고, 강아지는 커다란 뼈다귀를 하나 발견하고 즐거운 표정을 한 채로 뼈다귀를 입에 물고 돌아갑니다. 고양이 또한 생선 한마리를 입에 물고 돌아갑니다."
7,"There is a boy and a girl. They are walking down the street together. The boy teases the girl, gives her a mocking look, and runs ahead of her. The girl fights back and eventually breaks down crying. The boy sees this and apologizes to the girl with an apologetic look on his face. The boy continues to apologize, and eventually the girl warms up and accepts his apology, and they walk back together.","남자 어린아이와 여자 어린아이가 있습니다. 함께 길을 걸어가고 있습니다. 이때 남자아이가 여자아이에게 장난치고, 메롱 표정을 하며 먼저 뛰어갑니다. 여자아이는 씩씩 대다가 결국 울음을 터트리고 맙니다. 이를 보고 남자아이는 미안한 표정을 지으며 여자아이에게 사과합니다. 남자아이가 계속 사과하고 결국 여자아이는 기분을 풀고 사과를 받아줍니다. 그리고 함께 다시 걸어갑니다."
8,"A monster appears in the city center. It looks like a wagon dinosaur and breathes fire out of its mouth. At the same time, a man who looks like Superman flies out of the sky. The monster recognizes Superman and breathes fire at him. Superman dodges the fire with a cool look on his face. Superman and the monster fight. The monster is stunned. Superman picks up the monster and flies to the ocean, away from the city. Superman throws the monster into the ocean and people cheer for Superman.","도심에 괴수가 나타납니다. 괴수는 마차 공룡과 같은 모습을 하고 있으며, 입에서는 불을 내붐습니다. 이때 슈퍼맨과 같은 모습을 한 남성이 하늘에서 날아옵니다. 괴수는 슈퍼맨을 알아채고 슈퍼맨을 향해 불을 내뿜습니다. 슈퍼맨은 멋진 표정과 함께 불을 피합니다. 슈퍼맨과 괴수는 싸움을 합니다. 괴수는 기절합니다. 슈퍼맨이 괴수를 들고 날아 도시에서 떨어진 바닷가로 이동합니다. 슈퍼맨이 바다에 괴수를 던지고 사람들이 슈퍼맨을 향해 환호합니다."
9,"A soccer field is shown as seen from a distance. A goalkeeper is holding the ball on the soccer field. The goalkeeper throws the ball, which is caught by another soccer player with his chest. The receiver passes the ball to an attacker, who receives the ball. An attacker dribbles the ball and successfully crosses into the opponent's half. The attacker takes a shot in front of the opponent's goal, the opponent's goalkeeper jumps to block the ball, the ball eventually goes into the goal, and the attacker celebrates.","축구장의 모습이 원경에서 본 듯 보입니다. 축구장에 골키퍼가 공을 들고 있습니다. 골키퍼가 공을 던지고, 공을 다른 축구선수가 가슴으로 받아냅니다. 공을 받은 선수가 공격수에게 공을 패스하고, 공격수는 공을 받아냅니다. 공격수가 공을 드리블하고, 반대편 진형까지 성공적으로 진입합니다. 상대편 골대 앞에서 공격수가 슛을 하고, 상대편 골키퍼가 공을 막기 위해 점프합니다. 결국 공이 골대에 들어가고, 공격수는 환호합니다."
